attribute,trait_type,north_mean,south_mean,diff,t_statistic,p_value,significant,effect_size,abs_diff
compassionate,Feminine,0.0042071979967982995,0.0045824827434613,-0.00037528474666300056,-4.974057699962719,0.038122055258443865,True,-4.974057699962719,0.00037528474666300056
caring,Feminine,0.0008106257042411499,0.0008826031354012499,-7.19774311601e-05,-4.872818927272246,0.03962866850410897,True,-4.872818927272246,7.19774311601e-05
talkative,Feminine,5.5309863692925944e-05,5.325053480270364e-05,2.0593288902223024e-06,1.4696165485611599,0.2794415288280736,False,1.4696165485611599,2.0593288902223024e-06
trustworthy,Feminine,0.00049494914518775,0.0004648739282389,3.007521694885001e-05,1.1610076987612636,0.36547850418088557,False,1.1610076987612636,3.007521694885001e-05
kind,Feminine,0.00154757125637,0.00159923001464205,-5.165875827204997e-05,-0.9039693771948997,0.46142286344861716,False,-0.9039693771948997,5.165875827204997e-05
cautious,Feminine,0.12991106711896744,0.13019735084316458,-0.000286283724197145,-0.845372981017949,0.48691300945005955,False,-0.845372981017949,0.000286283724197145
family-oriented,Feminine,0.0002971980720662,0.00029314534327395004,4.052728792249959e-06,0.8005759307152562,0.5073655754282711,False,0.8005759307152562,4.052728792249959e-06
sensitive,Feminine,0.052312109142284055,0.054500684472624,-0.002188575330339948,-0.5324113719914911,0.6476693368352606,False,-0.5324113719914911,0.002188575330339948
honest,Feminine,0.004978941569733251,0.00488581554627235,9.312602346090056e-05,0.2979976947810355,0.7938116125591921,False,0.2979976947810355,9.312602346090056e-05
moral,Feminine,0.0026217809987711003,0.0025951409216081,2.6640077163000465e-05,0.2860024892734215,0.8017785814862521,False,0.2860024892734215,2.6640077163000465e-05
warm,Feminine,0.0013516201671762,0.00134288349783715,8.736669339049971e-06,0.28505355855780423,0.8024105444719348,False,0.28505355855780423,8.736669339049971e-06
gentle,Feminine,0.0029123514330524998,0.0028555267332576,5.682469979489957e-05,0.19912802129319807,0.8605706047270235,False,0.19912802129319807,5.682469979489957e-05
emotional,Feminine,0.03187382212342115,0.0315873767788384,0.00028644534458275445,0.14062133712323796,0.9010536460193724,False,0.14062133712323796,0.00028644534458275445
competent,Masculine,0.00504983419355775,0.004606601800199,0.0004432323933587501,145.0523287048333,4.752472676300343e-05,True,145.0523287048333,0.0004432323933587501
dynamic,Masculine,0.0254281733691659,0.0243531797616715,0.0010749936074944018,5.377385342689068,0.0328861754755759,True,5.377385342689068,0.0010749936074944018
self-confident,Masculine,0.00050654195836035,0.00055114023291,-4.459827454965002e-05,-4.9833828629093615,0.03798753583319645,True,-4.9833828629093615,4.459827454965002e-05
tough,Masculine,0.0083437917633183,0.0091388712962917,-0.0007950795329733987,-2.4443039922768164,0.13443404993563432,False,-2.4443039922768164,0.0007950795329733987
stern,Masculine,0.00211337490377885,0.0019536560593649997,0.00015971884441385014,1.81762385492279,0.21075429670901144,False,1.81762385492279,0.00015971884441385014
articulate,Masculine,0.00015567631706935,0.00015650545532115,-8.291382518000245e-07,-0.6639754603833317,0.5750084550477312,False,-0.6639754603833317,8.291382518000245e-07
qualified,Masculine,0.0027952968560174003,0.00267373487481585,0.0001215619812015502,0.6212266186141578,0.5978186858262765,False,0.6212266186141578,0.0001215619812015502
inspiring,Masculine,0.0017786684950035002,0.0016847288747674498,9.393962023605037e-05,0.6028438255203364,0.6078661786036262,False,0.6028438255203364,9.393962023605037e-05
ambitious,Masculine,0.0030769394302006,0.0030512298724668,2.5709557733799744e-05,0.39441966239081955,0.7313555907148273,False,0.39441966239081955,2.5709557733799744e-05
strong,Masculine,0.09830947335606335,0.09894738670818504,-0.0006379133521216829,-0.23183035018817139,0.8382303675467999,False,-0.23183035018817139,0.0006379133521216829
active,Masculine,0.10454350672644445,0.10212468955686735,0.002418817169577106,0.2145472276347077,0.8500084290035821,False,0.2145472276347077,0.002418817169577106
effective,Masculine,0.1843104422752938,0.18065078115362365,0.0036596611216701547,0.16756229132966802,0.8823385875353128,False,0.16756229132966802,0.0036596611216701547
assertive,Masculine,0.0010264335252984,0.00103241592989535,-5.98240459694999e-06,-0.10997909621891475,0.9224671296761627,False,-0.10997909621891475,5.98240459694999e-06
aggressive,Masculine,0.32259031700721585,0.32663086228506055,-0.004040545277844698,-0.09600462498979666,0.9322703633734675,False,-0.09600462498979666,0.004040545277844698
coarse,Masculine,0.00019404690827035,0.00019558073706665,-1.5338287962999957e-06,-0.04314024543971682,0.9695094229655109,False,-0.04314024543971682,1.5338287962999957e-06
rational,Masculine,0.00640293832317845,0.0064082709080691,-5.332584890650055e-06,-0.0318191554024869,0.9775061522455839,False,-0.0318191554024869,5.332584890650055e-06
