trait_type,attribute,Diff (N-S),p-value,significant
Feminine,trustworthy,-1.714803918550001e-05,0.0055837739499196995,True
Feminine,talkative,-6.807788784799797e-06,0.09553461399231399,False
Feminine,cautious,0.013812167930589994,0.1342382487967165,False
Feminine,emotional,-0.00045018358936469924,0.5380334245675652,False
Feminine,warm,1.9678753413650122e-05,0.7711355801490336,False
Feminine,sensitive,-0.0001230654187029459,0.8303166197131546,False
Feminine,honest,-0.00013559909465429973,0.8315950454367553,False
Feminine,family-oriented,-3.536575997955632e-06,0.8372260154353817,False
Feminine,kind,7.98505655984997e-06,0.8440894142821629,False
Feminine,gentle,4.9448754791e-05,0.8552198374812051,False
Feminine,compassionate,0.00023235734958379842,0.8904061205783544,False
Feminine,moral,2.090142402929999e-05,0.9668649933793104,False
Feminine,caring,-1.063740129765003e-05,0.9714252253477533,False
Masculine,dynamic,-0.002870268763690148,0.06223962689408543,False
Masculine,qualified,-0.00012018682740719982,0.08155554459899252,False
Masculine,effective,-0.03250606520403099,0.2431510901515275,False
Masculine,articulate,-2.7670267381573382e-06,0.2810277757841684,False
Masculine,self-confident,-3.0306827793700033e-05,0.3513793151815253,False
Masculine,aggressive,0.033250064958863734,0.35746480380216217,False
Masculine,tough,0.0004934411475140503,0.3906998994505765,False
Masculine,inspiring,2.3132203337799975e-05,0.4287417248791483,False
Masculine,competent,0.0001449191431437992,0.46121960984670585,False
Masculine,active,-0.01175874147558617,0.5282413913428193,False
Masculine,stern,6.594942846119972e-05,0.6615243579499015,False
Masculine,rational,0.0008245808106263509,0.6776321440971006,False
Masculine,assertive,4.6728955359749e-05,0.8400870882323946,False
Masculine,strong,-0.0009562540378118406,0.8662963713495387,False
Masculine,coarse,-1.4792643356306587e-06,0.9255772603745454,False
Masculine,ambitious,1.691419107500286e-06,0.9976071337167822,False
