trait_type,attribute,Diff (M-F),p-value,significant
Feminine,moral,0.0006304253697966998,0.0005872914313617455,True
Feminine,caring,0.00037199119541135,0.0007367134069301161,True
Feminine,compassionate,0.0021054611601712993,0.006936268949158422,True
Feminine,gentle,0.00033790867223689987,0.010642984039857693,True
Feminine,kind,5.058855649105003e-05,0.01224350585092312,True
Feminine,family-oriented,2.1417032736586027e-05,0.014262450997746914,True
Feminine,honest,0.0007929191633706998,0.015247734358420407,True
Feminine,warm,8.364051765384997e-05,0.02725857951932792,True
Feminine,sensitive,-0.000690051760084652,0.048552254092740235,True
Feminine,emotional,0.000859710565646498,0.11778759764374148,False
Feminine,cautious,0.007979786672572209,0.4998182675889584,False
Feminine,talkative,3.1709902580110333e-06,0.5787103539195797,False
Feminine,trustworthy,1.5402830655000105e-06,0.9106788562543917,False
Masculine,ambitious,0.0007064216483264997,0.0006187487654697806,True
Masculine,coarse,1.9813176562793244e-05,0.003186350830750686,True
Masculine,strong,-0.007075857241496952,0.01065224135875446,True
Masculine,assertive,-0.0002857798487112505,0.022022055059971738,True
Masculine,rational,0.0024211873608507503,0.05344270907325812,False
Masculine,stern,0.00018333791368680026,0.05904540046507791,False
Masculine,active,-0.021977214032455755,0.11827809671310488,False
Masculine,competent,0.00021908092675000136,0.1855009308715953,False
Masculine,inspiring,-3.283446057210002e-05,0.1891409116099624,False
Masculine,tough,0.0006420074802698508,0.2072505013968992,False
Masculine,aggressive,0.03964030334520416,0.23397773451679427,False
Masculine,self-confident,-3.551358142219992e-05,0.23994541232677843,False
Masculine,articulate,2.6590448128900993e-06,0.3090853308174797,False
Masculine,effective,-0.0280709359345499,0.3464155957622391,False
Masculine,qualified,5.0485905928299895e-05,0.6141964857875417,False
Masculine,dynamic,0.0010443298774903513,0.6588015770683675,False
