attribute,dimension,male_mean,female_mean,diff,t_statistic,p_value,significant,effect_size
democratic,Participative,0.00011191076727015001,9.238826164201808e-05,1.9522505628131927e-05,63.73027263472355,0.0002461206712951139,True,63.73027263472355
visionary,Charismatic/Value-Based,0.03965195578148715,0.03170269000554905,0.007949265775938096,30.86053960242638,0.0010483579836838,True,30.86053960242638
collaborative,Team-Oriented,0.0014859618774061,0.0011624483904991,0.00032351348690700006,25.046864886481913,0.0015902168769484648,True,25.046864886481913
administrative,Team-Oriented,0.01021991005978315,0.00865211484247835,0.0015677952173047995,16.142962860934254,0.003815420716643667,True,16.142962860934254
self-sacrificial,Charismatic/Value-Based,0.004246956034205249,0.0033349922359011998,0.0009119637983040496,11.90683191845042,0.006979784680385996,True,11.90683191845042
self-centered,Self-Protective,0.004246956034205249,0.0033349922359011998,0.0009119637983040496,11.90683191845042,0.006979784680385996,True,11.90683191845042
individualistic,Autonomous,0.042842143681858846,0.044672225999054,-0.0018300823171951558,-11.040103334828792,0.008104919993860057,True,-11.040103334828792
conflict-inducer,Self-Protective,0.00400873479938285,0.00321582575752635,0.0007929090418564997,6.269851476915694,0.02450689984625961,True,6.269851476915694
procedural,Self-Protective,3.2039658669179226e-05,2.923408821152397e-05,2.805570457655256e-06,5.998071556122108,0.026687945733680152,True,5.998071556122108
performance-oriented,Charismatic/Value-Based,0.0038683247804283,0.0029990160134003,0.0008693087670279998,5.215645422382928,0.034850382002612805,True,5.215645422382928
face-saving,Self-Protective,0.7352053390225455,0.7619534542029395,-0.026748115180393994,-4.95471317051797,0.03840335176666202,True,-4.95471317051797
integrity,Charismatic/Value-Based,0.0002106044550804,0.00015524670179219998,5.535775328820001e-05,4.109469907421609,0.05442545354749769,False,4.109469907421609
humane,Humane-Oriented,0.14187781224506246,0.1275758845319115,0.014301927713150975,2.7564689386798285,0.11026639830271398,False,2.7564689386798285
autonomous,Autonomous,9.655637319759681e-05,7.75624082581289e-05,1.8993964939467914e-05,2.603890405982021,0.12124182521516698,False,2.603890405982021
integrative,Team-Oriented,0.00463391956381155,0.003963558845161801,0.0006703607186497491,2.534309037736868,0.12676058237315135,False,2.534309037736868
status-conscious,Self-Protective,0.00024010542451715,0.0001961007023865,4.400472213065e-05,2.4131340530818033,0.13724240974833693,False,2.4131340530818033
decisive,Charismatic/Value-Based,6.214541696333594e-06,5.139395170829155e-06,1.0751465255044388e-06,1.8206819941823948,0.21025434342287683,False,1.8206819941823948
diplomatic,Team-Oriented,0.0007830539395890001,0.0006484271961938,0.0001346267433952001,1.70492859061026,0.23032419582555735,False,1.70492859061026
independent,Autonomous,0.0012013379739894,0.0011784523913199,2.2885582669499938e-05,0.5801361816893572,0.6204738802803957,False,0.5801361816893572
modest,Humane-Oriented,0.0045801488741565,0.004598368101585849,-1.8219227429349533e-05,-0.3269938861264055,0.7747239127995925,False,-0.3269938861264055
participative,Participative,0.00031165739625385,0.00031346444237655,-1.8070461226999974e-06,-0.08079492930535241,0.9429623646356668,False,-0.08079492930535241
inspirational,Charismatic/Value-Based,0.0001383567154031,0.00013841325073955,-5.653533644998845e-08,-0.010645481983186754,0.9924727207573198,False,-0.010645481983186754
